tx_hash,block_number,unix_timestamp,date_time,from,to,quantity
0x5d1da982c6d3fa504f959551ae5550d613f7dca9a9c2d3d3942739c812a303b1,4439169,1509106144,10/27/2017 12:09:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xdf423fe29ac1331bfcdc8e01f2934a971e4dfb72,31.657
0x2a035c733947df4a1fb5e66c01dc30d7cc30d82b5917f02593a506bdcd4f9c22,4439694,1509113435,10/27/2017 2:10:35 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x16b278ad48a9fb2a18f099c210ef742479fce983,2.638
0xe442ab43009a48d3554b691e71ad6694da82462f60ba48231035e0f3ffaa184e,4440511,1509125211,10/27/2017 5:26:51 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x44e5715f7db1a59de2af178cdad023b16e39da31,369340.969
0xdea8cd991e102d17677446d39dd002cd7733e095c3f8ec84236031b13be2625f,4440544,1509125771,10/27/2017 5:36:11 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xcad1acfa9151d7eae13f06ea4d90a0024cf37301,30758.991
0xf9343c92e13d21041c00bc57b64ae159b241abfbfd344f2d303fe68ea4779c6a,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x007e917588d7a1392c3604501e00a73565d06845,50010.143
0x982d612018df92c05462c098aa86b17bdcd83a08aa34379691dd910e947336fe,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x00e78da27c3d7a1ae6ef59a79946d8c77a708319,9.176
0xaa36143982d755bead7fa0a1efded284cefdb86ab8865cb5e0724e9269c6f66f,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x56fe408b24e6ebcf0d0230c8f4b7ba25f2c2197b,297.308
0x498b2587af3fcfd8d9a3c3286e566d86c0387ca1947fccc0fe38c3ab7c8a36e5,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xc636b16cee0a7cb4e5dc4662b7d321b772a8c1ec,187.299
0xbc0fdaaf2e0045072bc5b9712c3eeaa6a37ffc830b82359c9255a3f96d94ce19,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x65b761631b6f2fcc2c085a544b6602d1317dd94c,91.761
0x78ee139f6f7005ba7fedfd01e6949c1cb8e86c5e61c15d51099935c6e2a0e3fa,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x8b655867ee164b797df4a199f98f745757630bb0,130.209
0xfe81a37768e3d39532fa2bfd35a3d6ecaa64271e1a9de7690f54aa595e9df821,4440545,1509125784,10/27/2017 5:36:24 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x002c2d84a889df4bdab0175a1c4487f67adacff9,187.193
0x29cc5d504d79f89cff41c406b7ed541c6b9311cff965bf9c07d46a6026a48aaa,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x3872d74c3dbddbb0757cdc78070afc7a8266b595,142.276
0xd1c93a85dd0f2b5f3473e6804c0dc36846c95b092b6a964c5d8fd9265ba4675d,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x6cc5d8a4f16d0dd7122bc1d2759703ee9013c237,76.572
0x62adac316dc71b7440b018e6543d109961fb87bda1a91e76a173451a192ba210,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xe96acc7d52abd264535e1a64a03a9fce3e238c77,13.36
0x03cad5d6f463fce164103192edfbef3a5104b08156bbd11a02f8b8b5cf2ae497,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x8c6778f77b22cead996a7bd73de2283e38d5aa4a,91.761
0x5335bd4cab44699ea73272946be5fa721d6582b3e5ec20e23b3de5088fb7aa8a,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x648764f0789afe09b446db06388edb09d9588cb0,22.94
0xbf66b323fc4823d02fa2c13b9a68d9e5a6e18950891fb6a98871820685bd8741,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xf72fce633c6ff04e9d82d01a79cf7c4e3a54eecb,637.744
0x7abf88230107b4ea54fea446e09f2a97dd946fb34925689125063e03dedb1f10,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x003c6df13f3c95f12e0f3e2c82e3980d9732558b,355.576
0xc9407ff034b94b1ec3cf49026db658b5d550242bb74b61d20894129141d4e9ca,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xbc17ff2de0b6577aae386e5bfe8ab7695282a52f,3859.609
0xdf508533baeda48086b1b915f7b3465662d34109522604333272f4c0bfa74d10,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xf00098c1c1c81604a82b903cc34f91436e6a72ff,36.704
0x41fff4d277f814bd72f7d3c2f1f4ee8b6e4e35cd9ecc0779bb5dad76d9a14729,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xed5b940de6f21fcc6d1168cb78590f9ab6cd2ba6,229.404
0x9bd3a2bcca05a7d09d664378335cbf3048a0f73ae4507ee7d8baffe3ca14c890,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xba747ec663ca7239cfefc4be89639c3cff6da31d,503.837
0x9cf1137cf6c5e91351e3475427ec1125132131818b3f798f750a1dbc5d1c9199,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x1b919a32ea4ba16c20e24ee83cbdf98b89c94a31,15276.951
0xa3b439eaa80d9cdbbb789979fde65fef5cef7b2648b12c6e12d188fbfe14166c,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x24941335e79baae9751f508e7e95c1dd475b4e31,8.717
0x13ce4ae472d7d38298256f95afb2f05db4624ac544aeba636d9a4b0a65117ab3,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x00edf872c332daee73e6d6885fed66b03f1885de,107.471
0xc8a04c96d6de7db6e5052c1d70669af34a2f517cf32e8d6a3caafeb9e8ee5c29,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x007eb3537067c48639bce08b04e4fb52caf64e9c,1835.234
0xfb4098257ae8a99d09c266e33f631146463ab14c58ff8d56d635e90f15158eed,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x0c22a65da50ff23a3b8e236d586fe7e3e01ddba5,0.917
0x57ffc12ff238585fe2d70e3a469843a625d5afeb48a91517bf330d02ab5bfbe2,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x00951b683e7eedce3efc6199759ea1ab521fa5b3,97.432
0x88a724bf0056e13d3216861986c72dc7a741ea5aec0484f252cde2cf00eb37a8,4440546,1509125824,10/27/2017 5:37:04 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x0051ef63e8b9714d239156854c615606cd9effdd,2.018
0xb9817356bf99e1ad58bb8b0ebe7fff1acbcba6ae27b2fcff40d20ec6da61f6d0,4440547,1509125828,10/27/2017 5:37:08 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x0054fb3c10d0b0228569744734c66321e14c01a1,45.88
0x8e6c19de26f577531b4651a161a416c895ba63b8c428322ac895562e0456234b,4440547,1509125828,10/27/2017 5:37:08 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x00ac0f75d0d139301dd8d666526b02234220b14a,137.642
0x46db2460460946b590760cb894cd77ce3c12c5858cb870ba6b9ff3e5e56e6d6b,4440547,1509125828,10/27/2017 5:37:08 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xcbbedda51e4c9cfe80f429f6436a53c9738b59db,1972.877
0xd585f6b26e1d2e5d845b4419818b2aa23ab1a6dba2981c9440f760fdc336a349,4440547,1509125828,10/27/2017 5:37:08 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x00328824a4fc0484c8ff3353c8d2f65ba9e05638,81.428
0x29cf83ef4d8f20a60595eb163032ce363184c3077a26cfe908f282687e38f9b7,4440548,1509125830,10/27/2017 5:37:10 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x819669704eab9a1a1086840eab684846647b969b,136.476
0x279916a5f81c9f95dd9078465a7e7d88fde30f251dded52fdf85885f7a5ccb75,4440548,1509125830,10/27/2017 5:37:10 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0xe0ba2bcb31e7789cf711bdb657cc69526bb9a2f7,1187.908
0x783b2298181375626d86ec57852de3aebccff181cc2ad02105d2a6ad8259fccc,4440548,1509125830,10/27/2017 5:37:10 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x3eea99becd232fdc16b87fd8ee370a4d0ff68165,51.261
0xdb103ecf502249faaffa774bdcb7514710b42db7e2142b51c61a51ffe3c52c1d,4440548,1509125830,10/27/2017 5:37:10 PM,0x54a2d42a40f51259dedd1978f6c118a0f0eff078,0x008550c3b4af1fa7a4503bc9e55a8622f213138b,45.697
